1,Thunder's George (shoulder) out vs. 76ers,"Royce Young, ESPN Staff Writer",Oklahoma City Thunder forward Paul George missed Thursday's game against the Philadelphia 76ers due to a sore right shoulder.,2019-02-28T19:10:21Z,http://www.espn.com/nba/story/_/id/26105104/thunder-george-shoulder-vs-76ers
2,"Harris, Butler lead first ever 76ers win in OKC","Royce Young, ESPN Staff Writer",Philadelphia hopes first win in Oklahoma City sparks another process: jelling in time for the playoffs.,2019-03-01T07:02:12Z,http://www.espn.com/nba/story/_/id/26109147/harris-butler-lead-first-ever-76ers-win-okc
3,"Mitchell, Korver lead Jazz to 111-104 win over Nuggets",Associated Press,"Donovan Mitchell scored 24 points, including six in the final two minutes, and the short-handed Utah Jazz ended Denver's nine-game home win streak by holding off the Nuggets 111-104 on Thursday night.",2019-03-01T06:24:34Z,http://www.espn.com/nba/recap?gameId=401071599
4,"Harris, Simmons lead 76ers past Thunder, 108-104",Associated Press,Tobias Harris scored 32 points and Ben Simmons had a triple-double to help the Philadelphia 76ers beat the Oklahoma City Thunder 108-104 on Thursday night.,2019-03-01T03:52:40Z,http://www.espn.com/nba/recap?gameId=401071600
5,"Harden scores 58 points, Rockets rally to beat Heat 121-118",Associated Press,"James Harden had 58 points, 10 assists and seven rebounds and the Houston Rockets overcame a 21-point third-quarter deficit to beat the Miami Heat 121-118 on Thursday night.",2019-03-01T03:54:44Z,http://www.espn.com/nba/recap?gameId=401071598
6,Cavs come from 14 down in fourth to beat Knicks 125-118,Associated Press,"Kevin Love scored 26 points, Jordan Clarkson and Collin Sexton each had 22 and the Cleveland Cavaliers overcame a 14-point deficit in the fourth quarter to beat the New York Knicks 125-118 on Thursday night.",2019-03-01T03:48:40Z,http://www.espn.com/nba/recap?gameId=401071597
7,Warriors' Durant (rest) misses 1st game of season,"Nick Friedell, ESPN Staff Writer",Warriors All-Star Kevin Durant missed his first game of the season Thursday night against the Magic for rest.,2019-02-28T19:30:25Z,http://www.espn.com/nba/story/_/id/26105251/warriors-durant-rest-misses-1st-game-season
8,"Gordon scores 22, Magic rally past Warriors 103-96",Associated Press,"Aaron Gordon had 22 points and 15 rebounds, Terrence Ross added 16 points and the Orlando Magic rallied in the final three minutes to beat the Golden State Warriors 103-96 on Thursday night.",2019-03-01T02:46:35Z,http://www.espn.com/nba/recap?gameId=401071596
9,"Bogdanovic has season-high 35 points, Pacers top Wolves",Associated Press,Bojan Bogdanovic scored a season-high 35 points and the Indiana Pacers overcame Karl-Anthony Towns' big night for Minnesota to beat the Timberwolves 122-115 on Thursday.,2019-03-01T02:52:35Z,http://www.espn.com/nba/recap?gameId=401071595
10,Dinwiddie (thumb) to return Friday vs. Hornets,ESPN,"Spencer Dinwiddie, who has been out since Jan. 23 because of a thumb injury that required surgery, is expected to return to action Friday against the Hornets.",2019-03-01T01:49:02Z,http://www.espn.com/nba/story/_/id/26107406/dinwiddie-thumb-return-friday-vs-hornets
11,Fantasy basketball - Two places to look for hidden value,"John Cregan, Special to ESPN.com","Two statistical categories offer hidden value in fantasy basketball, and John Cregan looks at the overlooked players who excel in both of them.",2019-02-28T16:29:22Z,http://www.espn.com/fantasy/basketball/story/_/id/26103606/fantasy-basketball-two-places-look-hidden-value
12,Clippers hold off Kings 116-109 to improve playoff position,Associated Press,"Landry Shamet scored eight of his 20 points in the fourth quarter, Lou Williams made two free throws with 7.9 seconds left and the Los Angeles Clippers held off the Sacramento Kings 116-109 on Friday night.",2019-03-02T05:44:34Z,http://www.espn.com/nba/preview?gameId=401071606
13,Kings' Bagley to miss 1-2 weeks with knee sprain,ESPN,Kings rookie Marvin Bagley III is expected to miss up to two weeks after an MRI exam on his injured left knee Thursday revealed a sprain.,2019-02-28T21:54:36Z,http://www.espn.com/nba/story/_/id/26106229/kings-bagley-miss-1-2-weeks-knee-sprain
14,"Hornets end skid at 3, roll to 123-112 victory over Nets",Associated Press,"Kemba Walker scored 25 points, Jeremy Lamb added 22 and the Charlotte Hornets snapped a three-game skid Friday night with a 123-112 victory over the Brooklyn Nets to boost their playoff hopes.",2019-03-02T03:08:34Z,http://www.espn.com/nba/preview?gameId=401071602
15,"Randle scores 22, Pelicans beat Suns 130-116",Associated Press,"Julius Randle scored 16 of his 22 points in the third quarter, leading the New Orleans Pelicans to a 130-116 win over the Phoenix Suns on Friday night.",2019-03-02T04:38:41Z,http://www.espn.com/nba/preview?gameId=401071605
16,"Celtics beat Wizards 107-96 to end 4-game slide,",Associated Press,"Kyrie Irving had 13 points and 12 assists, Al Horford scored 18 points and the Boston Celtics beat the Washington Wizards 107-96 on Friday night to snap a four-game losing streak.",2019-03-02T03:39:04Z,http://www.espn.com/nba/preview?gameId=401071604
17,"Starting again, Dirk still pondering one more year","Tim MacMahon, ESPN Staff Writer","Mavericks star Dirk Nowitzki has never said that this would be his final season, despite receiving farewell tours around the NBA, and he said Wednesday night that he would still love to play next season if he feels healthy enough physically.",2019-02-28T06:27:33Z,http://www.espn.com/nba/story/_/id/26099992/starting-again-dirk-pondering-one-more-year
18,"Happy 20th, Luka! How the Mavs phenom left his mark as an NBA teen","Tim MacMahon, ESPN Staff Writer","Luka Doncic spent his first 57 career games putting up numbers not seen since the days of a young LeBron James, Kobe Bryant or Kevin Durant.",2019-02-28T07:09:00Z,http://www.espn.com/nba/story/_/id/26099269/happy-20th-luka-how-mavs-phenom-left-mark-nba-teen
19,Bulls fend off Trae Young's historic night in NBA's third-highest-scoring game,ESPN News Services,"Lauri Markkanen made three free throws to give Chicago the lead for good, Zach LaVine scored a career-high 47 points, and the Bulls overcame Trae Young's career-high 49 points to beat the Hawks 168-161 in four overtimes Friday.",2019-03-02T04:32:34Z,http://www.espn.com/nba/preview?gameId=401071601
20,"Kings' Bagley exits with knee sprain, set for MRI",ESPN,"Kings rookie Marvin Bagley III will have an MRI on his left knee Thursday, the team said.",2019-02-28T05:10:21Z,http://www.espn.com/nba/story/_/id/26099585/kings-bagley-exits-knee-sprain-set-mri
21,"Harris, Simmons lead 76ers past Thunder, 108-104",Associated Press,Tobias Harris scored 32 points and Ben Simmons had a triple-double to help the Philadelphia 76ers beat the Oklahoma City Thunder 108-104 on Thursday night.,2019-03-01T03:52:40Z,http://www.espn.com/nba/preview?gameId=401071600
22,Westbrook's wars - How conflict elevates Russell Westbrook and the Oklahoma City Thunder,"Royce Young, ESPN Staff Writer",There's a method to every feud -- real or manifested -- that Russell Westbrook takes to the court.,2019-02-28T13:33:00Z,http://www.espn.com/nba/story/_/id/26076468/westbrook-wars-how-conflict-elevates-russell-westbrook-oklahoma-city-thunder
23,"Mitchell, Korver lead Jazz to 111-104 win over Nuggets",Associated Press,"Donovan Mitchell scored 24 points, including six in the final two minutes, and the short-handed Utah Jazz ended Denver's nine-game home win streak by holding off the Nuggets 111-104 on Thursday night.",2019-03-01T06:24:34Z,http://www.espn.com/nba/preview?gameId=401071599
24,Wade after game winner -- 'It's special for me',"Nick Friedell, ESPN Staff Writer","Dwyane Wade's final NBA season now has a signature moment after he banked in a one-footed 3-pointer against the Warriors on Wednesday, giving the Heat a 126-125 win.",2019-02-28T05:28:17Z,http://www.espn.com/nba/story/_/id/26099692/wade-game-winner-special-me
25,Fantasy basketball - Fantasy NBA Daily Notes - D-Wade is not done yet,"Jim McCormick, Special to ESPN.com","Just because Miami Heat legend Dwyane Wade is on his retirement tour, that doesn't mean he's done helping fantasy hoops teams. Plus, a look at top the plays for Thursday's slate.",2019-02-28T13:35:02Z,http://www.espn.com/fantasy/basketball/story/_/id/26102346/fantasy-basketball-fantasy-nba-daily-notes-d-wade-not-done-yet
